date,discharge_m3s,Station_ID
1979-03-05,3.0,2548310
1979-03-06,3.0,2548310
1979-03-07,3.0,2548310
1979-03-08,3.0,2548310
1979-03-09,3.0,2548310
1979-03-10,3.0,2548310
1979-03-11,3.0,2548310
1979-03-12,3.0,2548310
1979-03-13,3.0,2548310
1979-03-14,3.0,2548310
1979-03-15,3.0,2548310
1979-03-16,3.0,2548310
1979-03-17,3.0,2548310
1979-03-18,3.0,2548310
1979-03-19,3.0,2548310
1979-03-20,3.0,2548310
1979-03-21,3.0,2548310
1979-03-22,3.0,2548310
1979-03-23,3.0,2548310
1979-03-24,3.0,2548310
1979-03-25,3.0,2548310
1979-03-26,3.0,2548310
1979-03-27,3.0,2548310
1979-03-28,3.0,2548310
1979-03-29,3.0,2548310
1979-03-30,3.0,2548310
1979-03-31,3.0,2548310
1979-04-01,3.0,2548310
1979-04-02,3.0,2548310
1979-04-03,2.0,2548310
1979-04-04,2.0,2548310
1979-04-05,2.0,2548310
1979-04-06,2.0,2548310
1979-04-07,2.0,2548310
1979-04-08,2.0,2548310
1979-04-09,2.0,2548310
1979-04-10,2.0,2548310
1979-04-11,2.0,2548310
1979-04-12,2.0,2548310
1979-04-13,3.0,2548310
1979-04-14,2.0,2548310
1979-04-15,2.0,2548310
1979-04-16,3.0,2548310
1979-04-17,3.0,2548310
1979-04-18,3.0,2548310
1979-04-19,2.0,2548310
1979-04-20,2.0,2548310
1979-04-21,2.0,2548310
1979-04-22,2.0,2548310
1979-04-23,2.0,2548310
1979-04-24,1.0,2548310
1979-04-25,1.0,2548310
1979-04-26,1.0,2548310
1979-04-27,1.0,2548310
1979-04-28,1.0,2548310
1979-04-29,1.0,2548310
1979-04-30,1.0,2548310
1979-05-01,1.0,2548310
1979-05-02,1.0,2548310
1979-05-03,1.0,2548310
1979-05-04,2.0,2548310
1979-05-05,1.0,2548310
1979-05-06,1.0,2548310
1979-05-07,1.0,2548310
1979-05-08,1.0,2548310
1979-05-09,1.0,2548310
1979-05-10,1.0,2548310
1979-05-11,5.0,2548310
1979-05-12,2.0,2548310
1979-05-13,1.0,2548310
1979-05-14,2.0,2548310
1979-05-15,3.0,2548310
1979-05-16,10.0,2548310
1979-05-17,3.0,2548310
1979-05-18,2.0,2548310
1979-05-19,2.0,2548310
1979-05-20,1.0,2548310
1979-05-21,1.0,2548310
1979-05-22,1.0,2548310
1979-05-23,1.0,2548310
1979-05-24,1.0,2548310
1979-05-25,1.0,2548310
1979-05-26,1.0,2548310
1979-05-27,1.0,2548310
1979-05-28,1.0,2548310
1979-05-29,1.0,2548310
1979-05-30,1.0,2548310
1979-05-31,1.0,2548310
1979-06-01,1.0,2548310
1979-06-02,2.0,2548310
1979-06-03,1.0,2548310
1979-06-04,1.0,2548310
1979-06-05,1.0,2548310
1979-06-06,1.0,2548310
1979-06-07,1.0,2548310
1979-06-08,7.0,2548310
1979-06-09,5.0,2548310
1979-06-10,3.0,2548310
1979-06-11,3.0,2548310
1979-06-12,11.0,2548310
1979-06-13,5.0,2548310
1979-06-14,22.0,2548310
1979-06-15,12.0,2548310
1979-06-16,5.0,2548310
1979-06-17,5.0,2548310
1979-06-18,3.0,2548310
1979-06-19,40.0,2548310
1979-06-20,9.0,2548310
1979-06-21,7.0,2548310
1979-06-22,6.0,2548310
1979-06-23,80.0,2548310
1979-06-24,12.0,2548310
1979-06-25,9.0,2548310
1979-06-26,9.0,2548310
1979-06-27,8.0,2548310
1979-06-28,63.0,2548310
1979-06-29,35.0,2548310
1979-06-30,42.0,2548310
1979-07-01,30.0,2548310
1979-07-02,20.0,2548310
1979-07-03,13.0,2548310
1979-07-04,14.0,2548310
1979-07-05,15.0,2548310
1979-07-06,15.0,2548310
1979-07-07,12.0,2548310
1979-07-08,12.0,2548310
1979-07-09,11.0,2548310
1979-07-10,17.0,2548310
1979-07-11,202.0,2548310
1979-07-12,78.0,2548310
