grdc_no,date,original,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
2550500,1970-03-01,59.4,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-04-01,79.6,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-05-01,165.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-06-01,432.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-07-01,992.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-08-01,1060.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-09-01,594.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-10-01,272.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-11-01,91.3,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-12-01,62.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-01-01,48.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-02-01,38.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-03-01,36.9,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-04-01,90.1,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-05-01,132.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-06-01,601.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-07-01,761.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-08-01,891.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-09-01,565.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-10-01,424.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-11-01,135.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1971-12-01,71.3,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-01-01,53.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-02-01,45.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-03-01,43.2,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-04-01,72.5,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-05-01,227.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-06-01,404.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-07-01,905.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
